SOURCE_ID,PSAI_N,Shape_Length,Shape_Area,GiZScore,GiPValue,NNeighbors,Gi_Bin
1,0.123985000000000,584541.001645918586291,4594069437.037026405334473,-1.277281588350393,0.201502877055658,2,0
2,0.281805000000000,377506.186592341051437,1927282273.966425418853760,-0.044651911335549,0.964384764628082,6,0
3,0.230760000000000,255002.713813826179830,1718680026.106261014938354,-0.089990008628213,0.928295154578119,8,0
4,0.616935000000000,637872.098533338285051,4879535846.887461662292480,0.128895749694905,0.897440139892285,2,0
5,0.225146000000000,516317.639966539107263,2327435509.605229854583740,-1.277281588350393,0.201502877055658,2,0
6,0.332520000000000,406576.216474525979720,3095685173.600770473480225,0.496553777288715,0.619503757364688,5,0
7,0.328350000000000,265789.967733672005124,929200947.411829113960266,-1.447187429221876,0.147844436342303,5,0
8,0.045309000000000,388661.714335476572160,2978331865.283857822418213,-2.225611711885993,0.026040201026849,3,-2
9,0.163721000000000,280694.118786434235517,1502169072.945824384689331,-0.897406642439244,0.369501979339892,7,0
10,0.185957000000000,569627.879704960272647,3235442049.330678462982178,-0.587462766851211,0.556892952567206,4,0
11,0.000000000000000,705122.129967619781382,5646368122.540904045104980,-0.978279647860838,0.327936045579145,3,0
12,1.000000000000000,339139.045710045786109,1468617350.403788566589355,3.386250243017767,0.000708547399970,8,3
13,0.305442000000000,355743.472313112986740,2036007229.956819057464600,2.244511717981666,0.024799495832095,9,2
14,0.490176000000000,257282.808167274255538,1813391627.739111185073853,3.542926417816833,0.000395713098266,7,3
15,0.293156000000000,298302.084624795301352,1484707411.224317073822021,-0.491025186699487,0.623408635438801,7,0
16,0.214568000000000,361473.176970221393276,2561556894.849465847015381,0.085190470782105,0.932109966258935,7,0
17,0.276486000000000,270418.725358460913412,1152918465.464457035064697,-0.171609439881293,0.863744585676382,8,0
18,0.382068000000000,265919.036671936803032,1392345170.944883346557617,3.551273650050749,0.000383371589960,8,3
19,0.373197000000000,192067.915056825178908,932835033.932879090309143,2.596940121408071,0.009405831924759,8,3
20,0.453395000000000,190363.765735926106572,705846585.223406314849854,2.857185705684405,0.004274156902722,9,3
21,0.302798000000000,227021.485688893619226,1162490316.156173467636108,3.026445969666226,0.002474470400376,6,3
22,0.365827000000000,216732.870925689232536,1128794265.843502759933472,-0.047945844244159,0.961759402954515,7,0
23,0.288285000000000,190143.131713358423440,1201618504.754244089126587,1.660567417721842,0.096800357303377,9,1
24,0.440710000000000,393684.670908563188277,3369924134.043742179870605,1.145865529374712,0.251850815342631,5,0
25,0.519521000000000,452375.114564330957364,4069228661.414440631866455,0.533267774170802,0.593848234256371,6,0
26,0.282773000000000,251145.645919000875438,1165632030.488910436630249,-0.890342218725834,0.373282167805703,5,0
27,0.330550000000000,489185.946678390726447,2574784765.085861206054688,-0.370278528512420,0.711174971209434,4,0
28,0.232487000000000,409378.892560743028298,1964337060.425191640853882,-0.461168088151284,0.644678016384289,7,0
29,0.456216000000000,550986.811833400628529,4453981380.671405792236328,1.049397740970696,0.293995112764986,4,0
30,0.271334000000000,328036.044693639792968,1638330455.045675039291382,0.044833625911118,0.964239922427461,7,0
31,0.202138000000000,208090.996446173812728,1041577946.627289056777954,-0.098572949564493,0.921477348522937,8,0
32,0.230698000000000,192972.862566381605575,718060316.242644190788269,-0.632115671129437,0.527311299430643,4,0
33,0.321492000000000,231173.231318852456752,983185620.710692882537842,-0.150125137520978,0.880665887899546,6,0
34,0.266715000000000,531395.608169204904698,3960531940.335688591003418,1.529515428819889,0.126136717154455,3,0
35,0.238557000000000,453456.265756046224851,2928041763.948478221893311,-0.481780777935380,0.629961687434689,6,0
36,0.212359000000000,347374.364245475444477,1689290818.064045667648315,0.068837866309774,0.945118676605474,3,0
37,0.289582000000000,242441.341428451560205,965283354.247270345687866,-0.595924588454777,0.551225609278400,4,0
38,0.291541000000000,530271.445881946827285,3437373830.775603294372559,0.035156708016665,0.971954782868810,4,0
39,0.407873000000000,364634.988895098736975,1903836017.323010206222534,0.108553975441776,0.913556267229905,6,0
40,0.297679000000000,313093.104092810826842,2390123048.668916225433350,0.449352446701708,0.653177430793074,6,0
41,0.400607000000000,369727.268701263295952,2421767239.653806686401367,0.481614040446353,0.630080151905220,4,0
42,0.195745000000000,379107.248092734662350,2509933664.055572032928467,0.339052230524824,0.734570384283281,5,0
43,0.346091000000000,329829.236224961234257,1533717298.945838928222656,-0.022190942320251,0.982295642792703,5,0
