SOURCE_ID,PSAI,Shape_Length,Shape_Area,LMiIndex,LMiZScore,LMiPValue,COType,NNeighbors,ZTransform,SpatialLag
1,1.088912000000000,584541.001645918586291,4594069437.037026405334473,0.653567761324090,0.553060422762184,0.280000000000000,,1,-1.268583593729114,-0.523372567685483
2,1.901302000000000,377506.186592341051437,1927282273.966425418853760,0.000872131472874,0.044988188255012,0.464000000000000,,5,-0.105994517023095,-0.008358685472322
3,1.638546000000000,255002.713813826179830,1718680026.106261014938354,-0.023314576872709,-0.118371888726037,0.396000000000000,,7,-0.482017431434852,0.049136500003700
4,3.626408000000000,637872.098533338285051,4879535846.887461662292480,-5.074798454689355,-2.201436047494699,0.002000000000000,HL,1,2.362757426944720,-2.181921323078612
5,1.609648000000000,516317.639966539107263,2327435509.605229854583740,0.653567761324090,1.138354321297815,0.058000000000000,,1,-0.523372567685483,-1.268583593729114
6,2.162363000000000,406576.216474525979720,3095685173.600770473480225,0.028886186594043,0.229425718061582,0.332000000000000,,4,0.267602729316655,0.109657691337061
7,2.140897000000000,265789.967733672005124,929200947.411829113960266,-0.199191071049233,-1.793277856905525,0.010000000000000,HL,4,0.236883324695018,-0.854229964655752
8,0.683924000000000,388661.714335476572160,2978331865.283857822418213,1.932589074060314,1.548740629724199,0.028000000000000,LL,2,-1.848150827443238,-1.062286184631868
9,1.293456000000000,280694.118786434235517,1502169072.945824384689331,0.282173190154771,0.877710285202031,0.186000000000000,,6,-0.975866278023904,-0.293741198088636
10,1.407920000000000,569627.879704960272647,3235442049.330678462982178,0.176286560244201,0.360973110419850,0.392000000000000,,3,-0.812059982924164,-0.220531442724573
11,0.450693000000000,705122.129967619781382,5646368122.540904045104980,-0.064734932699871,-0.148794105081539,0.390000000000000,,2,-2.181921323078612,0.030139707888902
12,5.598258000000000,339139.045710045786109,1468617350.403788566589355,3.292229133819883,2.498180799937334,0.006000000000000,HH,7,5.184617950711340,0.645078725359073
13,2.022975000000000,355743.472313112986740,2036007229.956819057464600,0.044083800224526,1.960883340700933,0.056000000000000,,8,0.068128380513866,0.657340490812324
14,2.973907000000000,257282.808167274255538,1813391627.739111185073853,1.945707149195134,3.617136700938619,0.004000000000000,HH,6,1.428981118595585,1.383217289533663
15,1.959735000000000,298302.084624795301352,1484707411.224317073822021,0.003149506808282,0.395938973443388,0.368000000000000,,6,-0.022372651269993,-0.143009379676574
16,1.555198000000000,361473.176970221393276,2561556894.849465847015381,-0.057143139823801,-0.191256114747948,0.374000000000000,,6,-0.601294471237524,0.096542004901169
17,1.873921000000000,270418.725358460913412,1152918465.464457035064697,0.003886700090768,0.057425447067255,0.482000000000000,,7,-0.145178716126097,-0.027196780963213
18,2.417412000000000,265919.036671936803032,1392345170.944883346557617,0.985635017844331,4.232686513748416,0.002000000000000,HH,7,0.632596367131982,1.582810256510183
19,2.371748000000000,192067.915056825178908,932835033.932879090309143,0.603083132766140,2.802911745843961,0.014000000000000,HH,7,0.567247867521323,1.080049685479444
20,2.784571000000000,190363.765735926106572,705846585.223406314849854,1.213503607408327,3.105907614964845,0.014000000000000,HH,8,1.158027555125809,1.064539063836667
21,2.009368000000000,227021.485688893619226,1162490316.156173467636108,0.054702250795257,2.439132298788719,0.040000000000000,HH,5,0.048655775525203,1.142116015839383
22,2.333813000000000,216732.870925689232536,1128794265.843502759933472,-0.053673715113497,-0.158140139525392,0.484000000000000,,6,0.512960128104488,-0.106296134646845
23,1.934657000000000,190143.131713358423440,1201618504.754244089126587,-0.022415154591451,-1.052392573136544,0.130000000000000,,8,-0.058261090154806,0.390843196300861
24,2.719276000000000,393684.670908563188277,3369924134.043742179870605,0.282837512945962,0.508562839818376,0.242000000000000,,4,1.064585669130758,0.269895608789328
25,3.124960000000000,452375.114564330957364,4069228661.414440631866455,0.071707886087431,0.138346825494418,0.366000000000000,,5,1.645148929380644,0.044279338606106
26,1.906283000000000,251145.645919000875438,1165632030.488910436630249,0.043025359269949,0.813649146070782,0.188000000000000,,4,-0.098866344358399,-0.442094847991313
27,2.152219000000000,489185.946678390726447,2574784765.085861206054688,-0.076096931280982,-0.551457362106793,0.278000000000000,,3,0.253085928772451,-0.305448902094426
28,1.647435000000000,409378.892560743028298,1964337060.425191640853882,0.067852553745101,0.394463778069732,0.372000000000000,,6,-0.469296627014758,-0.146878486739165
29,2.799096000000000,550986.811833400628529,4453981380.671405792236328,0.546780439039572,0.919048235462746,0.136000000000000,,3,1.178813884769398,0.471202028415340
30,1.847401000000000,328036.044693639792968,1638330455.045675039291382,0.001034016140318,0.029153756255467,0.462000000000000,,6,-0.183130761712876,-0.005735951104562
31,1.491210000000000,208090.996446173812728,1041577946.627289056777954,-0.050087979558286,-0.261669581879792,0.332000000000000,,7,-0.692865945332805,0.073438487193106
32,1.638225000000000,192972.862566381605575,718060316.242644190788269,0.098844803641861,0.342777127138607,0.384000000000000,,3,-0.482476805742293,-0.208121442489960
33,2.105596000000000,231173.231318852456752,983185620.710692882537842,-0.021476695706840,-0.287215944971371,0.424000000000000,,5,0.186365030529902,-0.117069149596681
34,1.823625000000000,531395.608169204904698,3960531940.335688591003418,-0.286298573537018,-1.801238611176338,0.042000000000000,LH,2,-0.217155944060963,1.339327811618853
35,1.678678000000000,453456.265756046224851,2928041763.948478221893311,0.062272227184028,0.297376303625920,0.398000000000000,,5,-0.424585625496367,-0.148993916505330
36,1.543826000000000,347374.364245475444477,1689290818.064045667648315,-0.236909263515745,-0.493296660762807,0.210000000000000,,2,-0.617568628945400,0.389705235557351
37,1.941338000000000,242441.341428451560205,965283354.247270345687866,0.016891733943643,0.575448530671832,0.254000000000000,,3,-0.048700094055060,-0.352357773380319
38,1.951417000000000,530271.445881946827285,3437373830.775603294372559,-0.001540548223628,-0.024171634573906,0.414000000000000,,3,-0.034276313230432,0.045658392707324
39,2.550246000000000,364634.988895098736975,1903836017.323010206222534,-0.065020005761808,-0.089227667839212,0.492000000000000,,5,0.822691466056350,-0.080287777460433
