Domain,Raw indicator,Max |diff| vs. stored,Mean |diff|
Electricity,Electricity,4.904067536504186e-07,2.477815617698241e-07
Gas,Gas,4.6335116380552543e-07,1.1013399956531127e-07
Water,Water,5.428991665286376e-07,2.3457928174762258e-07
Transport,Transport,5.904783997312535e-07,2.3658765277949486e-07
Education,Education,8.617589051101993e-07,3.5739909483263133e-07
Health,HosPer1000,1.2956740933475763e-05,5.835976886483409e-06
